@relation ERing_channel_3

@attribute channel_3_0 numeric
@attribute channel_3_1 numeric
@attribute channel_3_2 numeric
@attribute channel_3_3 numeric
@attribute channel_3_4 numeric
@attribute channel_3_5 numeric
@attribute channel_3_6 numeric
@attribute channel_3_7 numeric
@attribute channel_3_8 numeric
@attribute channel_3_9 numeric
@attribute channel_3_10 numeric
@attribute channel_3_11 numeric
@attribute channel_3_12 numeric
@attribute channel_3_13 numeric
@attribute channel_3_14 numeric
@attribute channel_3_15 numeric
@attribute channel_3_16 numeric
@attribute channel_3_17 numeric
@attribute channel_3_18 numeric
@attribute channel_3_19 numeric
@attribute channel_3_20 numeric
@attribute channel_3_21 numeric
@attribute channel_3_22 numeric
@attribute channel_3_23 numeric
@attribute channel_3_24 numeric
@attribute channel_3_25 numeric
@attribute channel_3_26 numeric
@attribute channel_3_27 numeric
@attribute channel_3_28 numeric
@attribute channel_3_29 numeric
@attribute channel_3_30 numeric
@attribute channel_3_31 numeric
@attribute channel_3_32 numeric
@attribute channel_3_33 numeric
@attribute channel_3_34 numeric
@attribute channel_3_35 numeric
@attribute channel_3_36 numeric
@attribute channel_3_37 numeric
@attribute channel_3_38 numeric
@attribute channel_3_39 numeric
@attribute channel_3_40 numeric
@attribute channel_3_41 numeric
@attribute channel_3_42 numeric
@attribute channel_3_43 numeric
@attribute channel_3_44 numeric
@attribute channel_3_45 numeric
@attribute channel_3_46 numeric
@attribute channel_3_47 numeric
@attribute channel_3_48 numeric
@attribute channel_3_49 numeric
@attribute channel_3_50 numeric
@attribute channel_3_51 numeric
@attribute channel_3_52 numeric
@attribute channel_3_53 numeric
@attribute channel_3_54 numeric
@attribute channel_3_55 numeric
@attribute channel_3_56 numeric
@attribute channel_3_57 numeric
@attribute channel_3_58 numeric
@attribute channel_3_59 numeric
@attribute channel_3_60 numeric
@attribute channel_3_61 numeric
@attribute channel_3_62 numeric
@attribute channel_3_63 numeric
@attribute channel_3_64 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.813557,-0.813106,-0.812655,-0.812289,-0.812289,-0.812289,-0.812289,-0.812289,-0.812289,-0.812289,-0.812289,-0.812289,-0.812289,-0.682682,-0.473196,-0.26371,-0.054225,0.13999,0.13999,0.13999,0.13999,0.13999,0.13999,0.13999,0.13999,0.13999,0.167925,0.444686,0.721447,0.998209,1.27497,1.551731,1.795384,1.795384,1.795384,1.795384,1.795384,1.795384,1.795384,1.795384,1.795384,1.795384,1.709446,1.052632,0.395818,-0.260995,-0.797496,-0.797496,-0.797496,-0.797496,-0.797496,-0.797496,-0.797496,-0.797496,-0.797496,-0.798044,-0.800642,-0.80324,-0.805838,-0.808062,-0.808062,-0.808062,-0.808062,-0.808062,-0.808062,5
-0.144512,-0.144512,-0.144512,-0.144512,-0.144512,-0.144512,-0.144512,-0.144512,-0.144512,-0.144512,0.006399,0.173713,0.341027,0.432886,0.432886,0.432886,0.432886,0.432886,0.432886,0.432886,0.432886,0.170337,-0.302253,-0.774842,-1.19801,-1.19801,-1.19801,-1.19801,-1.19801,-1.19801,-1.19801,-1.19801,-1.19801,-1.175877,-1.116466,-1.057054,-1.042687,-1.042687,-1.042687,-1.042687,-1.042687,-1.042687,-1.042687,-1.042687,-0.977448,-0.145652,0.686144,1.51794,1.871317,1.871317,1.871317,1.871317,1.871317,1.871317,1.871317,1.871317,1.534766,1.075013,0.61526,0.26068,0.26068,0.26068,0.26068,0.26068,0.26068,2
0.495745,0.495745,0.495745,0.375386,0.181302,0.01964,0.01964,0.01964,0.01964,0.01964,0.01964,0.015619,-0.060778,-0.137176,-0.164972,-0.164972,-0.164972,-0.164972,-0.164972,-0.186957,-0.339451,-0.491946,-0.539055,-0.539055,-0.539055,-0.539055,-0.539055,-0.539055,-0.01503,0.893695,1.656858,1.656858,1.656858,1.656858,1.656858,1.656858,1.613189,1.547834,1.496537,1.496537,1.496537,1.496537,1.496537,1.496537,1.304709,-0.092439,-1.112325,-1.112325,-1.112325,-1.112325,-1.112325,-1.112325,-1.111563,-1.107602,-1.103641,-1.102608,-1.102608,-1.102608,-1.102608,-1.102608,-1.104076,-1.110018,-1.115959,-1.117183,-1.117183,1
-0.198174,-0.198174,-0.198174,-0.198174,-0.198174,-0.198174,-0.198174,-0.198174,-0.111915,-0.021545,0.068826,0.11827,0.11827,0.11827,0.11827,0.11827,0.11827,0.123976,0.169777,0.215577,0.261378,0.278648,0.278648,0.278648,0.278648,0.278648,0.278648,0.278648,0.662301,1.326686,1.991071,2.15662,2.15662,2.15662,2.15662,2.15662,2.15662,2.15662,1.493576,0.606594,-0.280387,-0.986698,-0.986698,-0.986698,-0.986698,-0.986698,-0.986698,-0.986698,-0.954168,-0.917008,-0.883229,-0.883229,-0.883229,-0.883229,-0.883229,-0.883229,-0.883229,-0.883229,-0.912312,-0.947161,-0.982011,-0.997908,-0.997908,-0.997908,-0.997908,1
0.914534,0.914534,0.914534,0.914534,0.914534,0.914534,0.914534,0.927131,0.947633,0.968135,0.988638,1.00914,1.01297,1.01297,1.01297,1.01297,1.01297,1.01297,1.01297,1.01297,1.006473,0.998304,0.990134,0.981965,0.973795,0.973746,0.973746,0.973746,0.973746,0.973746,0.973746,0.973746,0.542503,-0.00186,-0.546223,-0.777362,-0.777362,-0.777362,-0.777362,-0.777362,-0.777362,-0.777362,-0.777362,-0.848467,-0.965917,-1.083367,-1.155176,-1.155176,-1.155176,-1.155176,-1.155176,-1.155176,-1.155176,-1.155421,-1.156729,-1.158037,-1.159345,-1.159384,-1.159384,-1.159384,-1.159384,-1.159384,-1.159384,-1.159384,-1.159384,6
-0.336682,-0.336682,-0.336682,-0.336682,-0.336682,-0.336682,-0.336682,-0.188608,0.008825,0.206258,0.206258,0.206258,0.206258,0.206258,0.206258,0.206258,0.206258,-0.11257,-0.445259,-0.694776,-0.694776,-0.694776,-0.694776,-0.694776,-0.694776,-0.694776,-0.757993,-0.859141,-0.935001,-0.935001,-0.935001,-0.935001,-0.935001,-0.935001,-0.935001,-0.926358,-0.896722,-0.873261,-0.873261,-0.873261,-0.873261,-0.873261,-0.873261,-0.873261,-0.782456,-0.419237,-0.056018,0.307201,0.382872,0.382872,0.382872,0.382872,0.382872,0.382872,0.665475,1.187204,1.708932,2.187184,2.187184,2.187184,2.187184,2.187184,2.187184,2.187184,2.187184,2
-0.882323,-0.882323,-0.882323,-0.882323,-0.882323,-0.882323,-0.882323,-0.882323,-0.882323,-0.882323,-0.881286,-0.87686,-0.872434,-0.86946,-0.86946,-0.86946,-0.86946,-0.86946,-0.86946,-0.86946,-0.86946,-0.86946,-0.86946,-0.519064,-0.043372,0.43232,0.908012,1.383704,1.480917,1.480917,1.480917,1.480917,1.480917,1.480917,1.480917,1.480917,1.480917,1.469703,1.342421,1.21514,1.087858,0.960576,0.86682,0.86682,0.86682,0.86682,0.86682,0.86682,0.86682,0.86682,0.86682,0.620279,0.167121,-0.286038,-0.739196,-0.898069,-0.898069,-0.898069,-0.898069,-0.898069,-0.898069,-0.898069,-0.898069,-0.898069,-0.898069,5
-0.857425,-0.857425,-0.857425,-0.857425,-0.857425,-0.857425,-0.882062,-0.91417,-0.946279,-0.953639,-0.953639,-0.953639,-0.953639,-0.953639,-0.953639,-0.942583,-0.764823,-0.587063,-0.42893,-0.42893,-0.42893,-0.42893,-0.42893,-0.42893,-0.42893,-0.42893,-0.054703,0.840813,1.736329,2.054234,2.054234,2.054234,2.054234,2.054234,2.054234,2.054234,2.054234,1.816517,1.30032,0.784124,0.507448,0.507448,0.507448,0.507448,0.507448,0.507448,0.507448,0.269157,-0.046286,-0.36173,-0.423673,-0.423673,-0.423673,-0.423673,-0.423673,-0.423673,-0.423673,-0.428032,-0.456008,-0.483983,-0.511959,-0.522516,-0.522516,-0.522516,-0.522516,1
-0.959928,-0.959928,-0.959928,-0.959928,-0.959928,-0.959928,-0.745024,-0.445488,-0.145953,0.153582,0.399233,0.399233,0.399233,0.399233,0.399233,0.399233,0.399233,0.399233,0.399233,0.399233,0.399233,0.399233,0.548096,0.719235,0.890374,1.061513,1.232652,1.403791,1.558269,1.558269,1.558269,1.558269,1.558269,1.558269,1.558269,1.558269,1.558269,1.558269,1.558269,1.025404,0.457697,-0.110011,-0.677719,-0.979295,-0.979295,-0.979295,-0.979295,-0.979295,-0.979295,-0.979295,-0.979295,-0.979295,-0.979295,-0.979295,-0.979278,-0.979168,-0.979059,-0.978949,-0.97884,-0.978798,-0.978798,-0.978798,-0.978798,-0.978798,-0.978798,5
1.102087,1.102087,1.102087,1.102087,1.102087,1.102087,1.102087,1.102087,1.078034,1.037829,0.997625,0.990213,0.990213,0.990213,0.990213,0.990213,0.990213,0.990213,0.990213,0.990213,0.990213,0.943882,0.870493,0.797104,0.723715,0.696146,0.696146,0.696146,0.696146,0.696146,0.696146,0.696146,0.696146,0.696146,0.257325,-0.352148,-0.961622,-1.067617,-1.067617,-1.067617,-1.067617,-1.067617,-1.067617,-1.067617,-1.067617,-1.067617,-1.071878,-1.079884,-1.08789,-1.095896,-1.097024,-1.097024,-1.097024,-1.097024,-1.097024,-1.097024,-1.097024,-1.097024,-1.09641,-1.09521,-1.09401,-1.09281,-1.092549,-1.092549,-1.092549,6
0.020542,0.020542,0.020542,0.020542,0.020542,0.020542,0.020542,0.020542,0.020542,0.020542,0.158418,0.317776,0.477134,0.622592,0.622592,0.622592,0.622592,0.622592,0.622592,0.622592,0.622592,0.622592,0.622592,0.262238,-0.275215,-0.812668,-1.350121,-1.377585,-1.377585,-1.377585,-1.377585,-1.377585,-1.377585,-1.377585,-1.377585,-1.314021,-1.184495,-1.054969,-0.925444,-0.888241,-0.888241,-0.888241,-0.888241,-0.888241,-0.888241,-0.888241,-0.888241,-0.888241,-0.625942,0.260096,1.146135,1.609841,1.609841,1.609841,1.609841,1.609841,1.609841,1.609841,1.609841,1.609841,1.609841,1.231394,0.609776,-0.011841,-0.42315,2
1.11101,1.11101,1.11101,1.11101,1.11101,1.11101,1.11101,1.11101,1.11101,1.11101,1.11101,1.11101,1.11101,1.11101,1.094693,1.01986,0.945026,0.870192,0.795359,0.720525,0.645692,0.575995,0.575995,0.575995,0.575995,0.575995,0.575995,0.575995,0.575995,0.575995,0.575995,0.575995,0.575995,0.575995,0.575995,0.575995,0.361943,0.048872,-0.2642,-0.577272,-0.890343,-1.203415,-1.203836,-1.203836,-1.203836,-1.203836,-1.203836,-1.203836,-1.203836,-1.203836,-1.203836,-1.203836,-1.203836,-1.203836,-1.203964,-1.205606,-1.207247,-1.208889,-1.21053,-1.212172,-1.213309,-1.213309,-1.213309,-1.213309,-1.213309,6
-0.135722,-0.135722,-0.135722,-0.135722,-0.135722,-0.135722,-0.135722,-0.135722,-0.160153,-0.283139,-0.406125,-0.529112,-0.532536,-0.532536,-0.532536,-0.532536,-0.532536,-0.532536,-0.532536,-0.532536,-0.35657,-0.17668,0.003211,0.183101,0.195148,0.195148,0.195148,0.195148,0.195148,0.195148,0.195148,0.53648,1.01753,1.49858,1.97963,2.1179,2.1179,2.1179,2.1179,2.1179,2.1179,2.1179,2.1179,1.290692,0.056842,-0.852994,-0.852994,-0.852994,-0.852994,-0.852994,-0.852994,-0.852994,-0.852994,-0.852994,-0.867095,-0.883058,-0.899021,-0.911417,-0.911417,-0.911417,-0.911417,-0.911417,-0.911417,-0.911417,-0.911417,1
-0.674672,-0.674508,-0.674343,-0.674179,-0.674162,-0.674162,-0.674162,-0.674162,-0.674162,-0.674162,-0.674162,-0.674001,-0.673261,-0.672521,-0.671868,-0.671868,-0.671868,-0.671868,-0.671868,-0.671868,-0.671868,-0.612786,-0.276531,0.059724,0.395979,0.510738,0.510738,0.510738,0.510738,0.510738,0.510738,0.510738,0.617424,1.036592,1.45576,1.874928,2.081936,2.081936,2.081936,2.081936,2.081936,2.081936,2.081936,2.081936,1.351848,0.466137,-0.419575,-0.664218,-0.664218,-0.664218,-0.664218,-0.664218,-0.664218,-0.664218,-0.666439,-0.669277,-0.672116,-0.672887,-0.672887,-0.672887,-0.672887,-0.672887,-0.672887,-0.672887,-0.672887,5
-1.33994,-1.33994,-1.33994,-1.33994,-1.317349,-1.202829,-1.088309,-0.978484,-0.978484,-0.978484,-0.978484,-0.978484,-0.978484,-0.978484,-0.745281,-0.407519,-0.336274,-0.336274,-0.336274,-0.336274,-0.336274,-0.336274,-0.326981,-0.230443,-0.133905,-0.064613,-0.064613,-0.064613,-0.064613,-0.064613,-0.064613,0.283184,0.88477,1.486355,2.087941,2.108673,2.108673,2.108673,2.108673,2.108673,2.108673,1.838576,1.255042,0.671509,0.621927,0.621927,0.621927,0.621927,0.621927,0.621927,0.358091,0.008457,-0.322065,-0.322065,-0.322065,-0.322065,-0.322065,-0.322065,-0.322065,-0.379537,-0.461161,-0.523822,-0.523822,-0.523822,-0.523822,1
0.213612,0.213612,0.213612,0.213612,0.213612,0.213612,0.213612,0.213612,0.213612,0.213612,0.229052,0.556686,0.884321,1.211955,1.478448,1.478448,1.478448,1.478448,1.478448,1.478448,1.478448,1.478448,1.478448,1.478448,1.121119,0.368886,-0.383347,-1.13558,-1.244054,-1.244054,-1.244054,-1.244054,-1.244054,-1.244054,-1.244054,-1.244054,-1.244054,-1.205595,-1.15798,-1.110365,-1.06275,-1.054492,-1.054492,-1.054492,-1.054492,-1.054492,-1.054492,-1.054492,-1.054492,-1.054492,-1.054492,-0.818131,-0.35629,0.105551,0.567392,0.70059,0.70059,0.70059,0.70059,0.70059,0.70059,0.70059,0.70059,0.70059,0.70059,2
-0.667895,-0.666062,-0.664229,-0.662396,-0.66135,-0.66135,-0.66135,-0.66135,-0.66135,-0.66135,-0.66135,-0.66135,-0.66135,-0.661682,-0.662251,-0.662819,-0.662986,-0.662986,-0.662986,-0.662986,-0.662986,-0.662986,-0.662986,-0.662986,-0.650742,-0.038013,0.574717,1.187446,1.800176,2.047104,2.047104,2.047104,2.047104,2.047104,2.047104,2.047104,2.047104,2.047104,1.659889,1.104943,0.549997,0.065747,0.065747,0.065747,0.065747,0.065747,0.065747,0.065747,0.065747,0.03746,-0.173554,-0.384568,-0.595581,-0.676403,-0.676403,-0.676403,-0.676403,-0.676403,-0.676403,-0.676403,-0.676403,-0.676403,-0.676667,-0.677035,-0.677384,5
0.898017,0.898017,0.898017,0.898017,0.898017,0.898017,0.949566,1.002655,1.055744,1.108833,1.161823,1.161823,1.161823,1.161823,1.161823,1.161823,1.161823,1.161823,1.161823,1.161823,1.048956,0.931587,0.814218,0.696849,0.585629,0.585629,0.585629,0.585629,0.585629,0.585629,0.585629,0.585629,0.585629,0.585629,0.585629,0.164752,-0.258501,-0.681754,-1.105007,-1.112133,-1.112133,-1.112133,-1.112133,-1.112133,-1.112133,-1.112133,-1.112133,-1.112148,-1.11737,-1.122592,-1.127814,-1.132768,-1.132768,-1.132768,-1.132768,-1.132768,-1.132768,-1.132768,-1.132768,-1.132768,-1.132768,-1.132251,-1.122566,-1.112881,-1.103775,6
-1.563286,-1.518544,-1.473801,-1.429059,-1.421994,-1.421994,-1.421994,-1.421994,-1.421994,-1.421994,-1.421994,-1.421994,-1.336133,-0.928291,-0.52045,-0.112608,0.03765,0.03765,0.03765,0.03765,0.03765,0.03765,0.03765,0.03765,0.03765,0.255352,0.531109,0.806865,0.995541,0.995541,0.995541,0.995541,0.995541,0.995541,0.995541,0.995541,0.995541,1.025928,1.083663,1.141399,1.199134,1.199134,1.199134,1.199134,1.199134,1.199134,1.199134,1.199134,1.199134,1.199134,0.983726,0.399045,-0.185636,-0.339499,-0.339499,-0.339499,-0.339499,-0.339499,-0.339499,-0.339499,-0.339499,-0.339499,-0.830309,-1.348385,-1.839194,4
-1.035978,-1.035978,-1.035978,-1.035978,-1.035978,-0.992019,-0.945737,-0.927709,-0.927709,-0.927709,-0.927709,-0.927709,-0.820263,-0.532324,-0.3245,-0.3245,-0.3245,-0.3245,-0.3245,-0.3245,-0.204023,0.028925,0.147241,0.147241,0.147241,0.147241,0.147241,0.147241,0.715564,1.575081,2.15794,2.15794,2.15794,2.15794,2.15794,2.15794,1.774704,1.045998,0.885786,0.885786,0.885786,0.885786,0.885786,0.885786,0.622185,0.344495,0.236176,0.236176,0.236176,0.236176,0.236176,0.062987,-0.401809,-0.834908,-0.834908,-0.834908,-0.834908,-0.834908,-0.834908,-0.856727,-0.948666,-1.005044,-1.005044,-1.005044,-1.005044,3
